country,continent,risk_cluster,cluster_reason,cases,deaths,tests,recovered,cases_per_100k,deaths_per_100k,tests_per_100k,recovery_rate,death_rate
Peru,South-America,Extreme Risk,"high deaths per 100k, high death rate",4572667,222161.0,39010194.0,4350506.0,13575.106174382965,659.5405182155388,115811.52212336416,95.1415443110115,4.858455688988505
Bosnia-and-Herzegovina,Europe,Extreme Risk,"high deaths per 100k, high death rate",403615,16388.0,1884721.0,379084.0,12421.533509965326,504.3521453893233,58003.60506531065,93.92217831349183,4.060304993620158
Bulgaria,Europe,Extreme Risk,"high deaths per 100k, high death rate",1339851,38748.0,11671043.0,1292944.0,19575.30881657459,566.1107586027344,170514.68479444442,96.49908833146372,2.891963360104967
North-Macedonia,Europe,Extreme Risk,"high deaths per 100k, high death rate",350567,9976.0,2226216.0,337068.0,16843.623036327226,479.3148910490731,106962.55808858293,96.14938086014942,2.84567571961993
Trinidad-and-Tobago,North-America,Extreme Risk,"high deaths per 100k, high death rate",191496,4390.0,913289.0,187078.0,13614.250116416712,312.1034278056427,64929.527899131586,97.69290220161257,2.2924760830513433
Colombia,South-America,Extreme Risk,"high deaths per 100k, high death rate",6400173,143200.0,36951507.0,6212152.0,12424.441539360672,277.98936504317123,71732.72324244621,97.06225128601993,2.2374395192129963
Hungary,Europe,Extreme Risk,"high deaths per 100k, high death rate",2230232,49048.0,11394556.0,2152155.0,23216.44669376497,510.5837766814324,118615.95653417215,96.49915345130013,2.1992330842710532
Ukraine,Europe,Extreme Risk,"high deaths per 100k, high death rate",5557995,112418.0,32603805.0,5445577.0,12868.075803268011,260.2743157652685,75485.53645963492,97.97736413940639,2.0226358605936134
Romania,Europe,Extreme Risk,"high deaths per 100k, high death rate",3529735,68929.0,28758667.0,3460149.0,18546.964782029216,362.18688809797106,151112.1894496629,98.02857721613663,1.9528094885310088
Armenia,Asia,Extreme Risk,"high deaths per 100k, high death rate",451831,8777.0,3242901.0,435162.0,15203.101246784116,295.3263933705836,109116.3559744627,96.31078876836693,1.9425404631377663
Brazil,South-America,Extreme Risk,"high deaths per 100k, high death rate",38743918,711380.0,63776166.0,36249161.0,17990.83890836221,330.3311498499122,29614.628254658375,93.56090677251588,1.8361075408016299
Russia,Europe,Extreme Risk,high deaths per 100k,24124215,402756.0,273400000.0,23545818.0,16545.425955773942,276.22741615607765,187509.49849802765,97.60242146739283,1.6695092462075969
Croatia,Europe,Extreme Risk,high deaths per 100k,1309728,18687.0,5660084.0,1258432.0,32264.984531762482,460.35189439719204,139435.45736861113,96.08346160424149,1.4267847980649417
Saint-Lucia,North-America,Extreme Risk,high deaths per 100k,30215,410.0,210983.0,29805.0,16322.462495880893,221.4863353735286,113975.24755149557,98.64305808373325,1.3569419162667549
Argentina,South-America,Extreme Risk,high deaths per 100k,10128845,130841.0,35716069.0,9997258.0,22014.330550894396,284.3736895578492,77626.35808372546,98.70086865777886,1.2917662379076786
Grenada,North-America,Extreme Risk,high deaths per 100k,19693,238.0,182981.0,19358.0,17354.48336638026,209.7378277153558,161252.25820665347,98.29888792972122,1.2085512618696999
Chile,South-America,Extreme Risk,high deaths per 100k,5384853,64497.0,50382097.0,5252450.0,27972.978975018177,335.04595667732195,261722.52800556048,97.54119564638069,1.1977485736379432
Slovakia,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",1877605,21224.0,7448789.0,1856381.0,34387.15444673842,388.7042088072711,136419.88479161818,98.8696238026635,1.1303761973365005
USA,North-America,Extreme Risk,"high cases per 100k, high deaths per 100k",111820082,1219487.0,1186851502.0,109814428.0,33398.54307967895,364.2376966295593,354490.09077572194,98.20635617133601,1.090579597321347
Sweden,Europe,Extreme Risk,high deaths per 100k,2754129,27407.0,19500873.0,2726492.0,26951.138231041074,268.1972578256656,190830.10412692235,98.99652485413719,0.9951240482925817
Montenegro,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",296542,2846.0,2769281.0,291794.0,47223.82355283064,453.2207978342225,441003.42383947765,98.39887773064187,0.9597291446068348
UK,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",24910387,232112.0,522526476.0,24678275.0,36366.63964053675,338.8599888168846,762835.6819720054,99.06821198723247,0.9317880127675254
Czechia,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",4759041,43517.0,57834241.0,4715206.0,44324.64134511787,405.3075855861494,538655.159682825,99.07891106632619,0.914406915174717
Spain,Europe,Extreme Risk,high deaths per 100k,13914811,121760.0,471036328.0,13762417.0,29783.96092976194,260.62122459355095,1008229.8343578314,98.90480725897032,0.8750388345195634
Sint-Maarten,North-America,Extreme Risk,high deaths per 100k,11051,92.0,62056.0,10905.0,25135.33184733658,209.2526042851294,141145.43055997818,98.67885259252557,0.8325038458058095
Panama,North-America,Extreme Risk,extreme combined risk profile,1059893,8727.0,7882622.0,1051102.0,23834.080959504055,196.24624800200766,177258.50715229535,99.17057665254889,0.8233850020709638
Finland,Europe,Extreme Risk,high deaths per 100k,1516117,11958.0,12108977.0,1503989.0,27293.031813010355,215.2670766306148,217984.95398706742,99.20006173666016,0.7887254083952624
Uruguay,South-America,Extreme Risk,high deaths per 100k,1041111,7664.0,6114822.0,1030944.0,29779.926636491367,219.2209646637773,174908.29561420772,99.02344706760374,0.7361366847531147
Italy,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",26723249,196487.0,281126449.0,26361218.0,44344.5414142098,326.0503956256906,466501.04036040825,98.64525829175936,0.7352661347428225
